latitude,longitude,elevation
52.53218,-117.644827,1395.6
52.532183,-117.644827,1395.6
52.532186,-117.644826,1395.6
52.532189,-117.644826,1395.6
52.532193,-117.644825,1395.6
52.532196,-117.644825,1395.6
52.532199,-117.644824,1395.6
52.532203,-117.644824,1395.6
52.532206,-117.644823,1395.6
52.532209,-117.644823,1395.6
52.532213,-117.644822,1395.6
52.532216,-117.644822,1395.6
52.532219,-117.644821,1395.6
52.532223,-117.644821,1395.6
52.532226,-117.64482,1395.6
52.532229,-117.64482,1395.6
52.532232,-117.644819,1395.6
52.532236,-117.644819,1395.6
52.532239,-117.644818,1395.6
52.532242,-117.644818,1395.6
52.532246,-117.644817,1395.6
52.532249,-117.644817,1395.6
52.532252,-117.644816,1395.6
52.532256,-117.644816,1395.6
52.532259,-117.644815,1395.6
52.532262,-117.644815,1395.6
52.532266,-117.644814,1395.6
52.532265,-117.644844,1395.6
52.532263,-117.644871,1395.6
52.532233,-117.644878,1395.6
52.532213,-117.644901,1395.6
52.53223,-117.644903,1395.6
52.532237,-117.644876,1395.6
52.532241,-117.644871,1395.6
52.532239,-117.644857,1395.6
52.532139,-117.644792,1395.7
52.532105,-117.644786,1395.7
52.532038,-117.644698,1395.7
52.532085,-117.644718,1395.7
52.532085,-117.644663,1395.7
52.532109,-117.644712,1395.7
52.53212,-117.644759,1395.7
52.532135,-117.644788,1395.7
52.532123,-117.644784,1395.7
52.532122,-117.644785,1395.7
52.532119,-117.644795,1395.7
52.532129,-117.6448,1395.7
52.532124,-117.644799,1395.7
52.532123,-117.644794,1395.7
52.532118,-117.64479,1395.7
52.532117,-117.644793,1395.7
52.532114,-117.644794,1395.7
52.532111,-117.644794,1395.7
52.532108,-117.644793,1395.7
52.532108,-117.644792,1395.7
52.532108,-117.644791,1395.7
52.532109,-117.644798,1395.7
52.532114,-117.644817,1395.7
52.532126,-117.644825,1395.7
52.53213,-117.644827,1395.7
52.532133,-117.644829,1395.7
52.532137,-117.644831,1395.7
52.532141,-117.644834,1395.7
52.532144,-117.644836,1395.7
52.532148,-117.644838,1395.7
52.53215,-117.64483,1395.7
52.53215,-117.644825,1395.7
52.532149,-117.64482,1395.7
52.532149,-117.644815,1395.7
52.532149,-117.644809,1395.7
52.532149,-117.644804,1395.7
52.532149,-117.644799,1395.7
52.532149,-117.644793,1395.7
52.532149,-117.644788,1395.7
52.532149,-117.644783,1395.7
52.532149,-117.644777,1395.7
52.532149,-117.644772,1395.7
52.532149,-117.644767,1395.7
52.532149,-117.644761,1395.7
52.532149,-117.644756,1395.7
52.532149,-117.644751,1395.7
52.532148,-117.644746,1395.7
52.532148,-117.64474,1395.7
52.532148,-117.644735,1395.7
52.532148,-117.64473,1395.7
52.532148,-117.644724,1395.8
52.532148,-117.644719,1395.8
52.532148,-117.644714,1395.8
52.532148,-117.644708,1395.8
52.532148,-117.644703,1395.8
52.532148,-117.644698,1395.8
52.532148,-117.644693,1395.8
52.532148,-117.644687,1395.8
52.532148,-117.644682,1395.8
52.532152,-117.644673,1395.8
52.53215,-117.644662,1395.8
52.532149,-117.644652,1395.8
52.532148,-117.644642,1395.8
52.532146,-117.644631,1395.8
52.532145,-117.644621,1395.8
52.532139,-117.644587,1395.8
52.532149,-117.644574,1395.8
52.532146,-117.644571,1395.8
